system:index,Aspect,Elevation,LULC,NDVI,Population,Rainfall,Slope,.geo
1_00000000000000000c7f_0,318.31885,1094,60,0.18651123,0.6028347,16278.811920925975,39.475967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_1,303.2395,1078,60,0.09749538,0.6172388,16278.811920925975,26.65881,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_2,318.31885,1094,60,0.15059015,0.6028347,16278.811920925975,39.475967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_3,321.8835,1108,30,0.24211012,0.6028347,16278.811920925975,43.424515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_4,320.40714,1126,30,0.33478546,0.6028347,16278.811920925975,51.571877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_5,301.60165,1091,60,0.13262142,0.6172388,16278.811920925975,46.406193,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_6,308.99268,1118,60,0.19299927,0.6028347,16278.811920925975,47.216362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_7,313.32788,1137,30,0.16465257,0.6028347,16278.811920925975,49.709846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_8,316.95554,1165,30,0.20441408,0.6028347,16278.811920925975,54.800205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_9,326.76123,1190,30,0.30452344,0.60248864,16278.811920925975,55.076508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_10,286.7589,1077,30,0.26556018,0.6172388,16278.811920925975,45.29991,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_11,293.54874,1112,30,0.14796998,0.6172388,16278.811920925975,49.600014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_12,292.98,1136,30,0.16765578,0.6028347,16278.811920925975,42.371002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_13,298.45142,1158,30,0.14716412,0.6028347,16278.811920925975,48.272408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_14,302.04202,1190,30,0.19170788,0.6028347,16278.811920925975,55.674908,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_15,315.3169,1226,30,0.26693952,0.60248864,16278.811920925975,55.95192,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_16,299.0431,1247,10,0.3310072,0.60248864,16278.811920925975,64.186676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_17,285.8406,1140,10,0.31356692,0.6017882,16278.811920925975,43.496986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_18,288.78296,1170,10,0.3305231,0.6017882,16278.811920925975,54.61084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_19,295.63403,1213,10,0.2593788,0.6017882,16278.811920925975,59.844173,"{""type"":""MultiPoint"",""coordinates"":[]}"
