system:index,Aspect,Class,Elevation,LULC,NDVI,Population,Rainfall,Slope,.geo
1_00000000000000000c7f_0,298.45142,1,1158,30,0.14716412,0.6028347,16278.811920925975,48.272408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ac7_0,174.61536,1,1864,10,0.568148,0.9406363,17197.912096183747,30.342264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_0,306.19516,1,1752,60,0.18619753,1.1154675,17705.323055703193,33.340363,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000344_0,308.3479,1,1616,10,0.5373642,1.1760424,17705.323055703193,23.91954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000345_0,322.36304,1,1565,10,0.56294256,1.1879421,17705.323055703193,24.214378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000346_0,41.3362,1,1611,10,0.63697916,1.22872,17705.323055703193,30.203787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000347_0,63.995438,1,1614,10,0.7058034,1.1773131,17705.323055703193,30.571917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a86_0,191.98148,1,1277,10,0.7559659,3.535166,16260.850940175587,27.903229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000acc_0,160.29408,1,1592,10,0.66839725,1.0387468,17229.699070842937,45.893513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000acd_0,145.06213,1,1607,10,0.42518726,1.0987355,17229.699070842937,33.876842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b68_0,172.11601,1,1509,30,0.17186053,0.91520476,18289.079813733697,42.969112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b7c_0,41.128395,1,1321,30,0.29509434,0.80328125,18250.2188675981,33.672295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000112d_0,155.17166,1,1392,30,0.2684527,1.373348,17203.871778441593,38.124863,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000866_0,156.57068,1,1863,30,0.11995618,1.195384,15163.004658494145,34.529995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000086a_0,137.78514,1,1201,30,0.46076038,2.1148255,15494.230670975521,41.864365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000008f5_0,168.83792,1,1551,10,0.5839134,2.16017,16313.865779889049,33.424637,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000f04_0,171.05005,1,2483,30,0.19534206,0.39992607,14280.053097572993,52.316006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000f22_0,28.052683,1,1734,10,0.29077306,1.6069373,15603.89615738811,33.438354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000f23_0,320.25635,1,1756,30,0.347866,1.7093157,15603.89615738811,21.80157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000f40_0,143.36794,1,3123,30,0.3479339,0.10266512,13301.419052354642,70.88023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000fac_0,187.33546,1,1058,30,0.36928642,1.0804368,15139.112213348038,52.204185,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000fad_0,137.70218,1,1115,30,0.2916388,1.0751101,15139.112213348038,59.314823,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000fae_0,183.31645,1,1034,10,0.58700883,1.0496485,15139.112213348038,32.30853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000faf_0,185.3062,1,1007,30,0.36408105,1.0884511,15139.112213348038,49.88228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000fb0_0,147.39618,1,1031,30,0.34480286,0.97236663,15139.112213348038,45.523468,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000fbf_0,160.29573,1,1735,30,0.32772133,0.860329,16230.474755720701,60.065804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001011_0,227.45016,1,916,10,0.49783838,1.5991505,15670.809061371256,34.7687,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001022_0,157.41714,1,2251,60,0.113676734,2.3964262,17413.59758118633,18.423365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001023_0,218.3173,1,2326,30,0.1766133,2.4175897,17413.59758118633,22.423162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000992_0,154.66852,1,1312,30,0.33706912,1.277465,12380.461671303026,34.23819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000993_0,140.13348,1,997,30,0.18854211,1.4317228,12380.461671303026,36.43349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000994_0,165.97293,1,1064,30,0.3217483,1.348447,12380.461671303026,36.90064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000995_0,152.83128,1,1095,30,0.2856194,1.0717168,12380.461671303026,39.928844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000996_0,172.31694,1,809,60,0.19860156,1.6296065,12380.461671303026,22.21315,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000997_0,148.14873,1,821,30,0.44270205,1.6506901,12380.461671303026,35.91138,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000998_0,133.85176,1,744,30,0.34153742,1.9136949,12380.461671303026,32.246967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000999_0,158.12506,1,714,30,0.3674776,1.9766834,12380.461671303026,26.032015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000099a_0,182.57468,1,715,30,0.41089442,1.9766834,12380.461671303026,22.053028,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000099b_0,154.27599,1,710,30,0.16517115,1.9485809,12380.461671303026,20.673464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000099c_0,147.89449,1,783,30,0.06672977,1.9309236,12380.461671303026,39.411404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000099d_0,193.09236,1,554,30,0.21900882,2.113245,12380.461671303026,25.732843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000099e_0,190.96835,1,600,30,0.30957478,1.9375565,12380.461671303026,25.55622,"{""type"":""MultiPoint"",""coordinates"":[]}"
